seq,t_us,wall_s,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z,gx_est,gy_est,gz_est,g_norm_est
79505,795454746,50.7386558,3260,1808,0,2744,1631,142,-1.20631762652705,-0.259912739965096,0,1.23400034378683
79507,795474746,50.7391653,3199,1823,0,2716,1640,142,-1.29965095986038,-0.229912739965096,0,1.31983047603254
79508,795484747,50.7403998,3199,1808,0,2708,1630,142,-1.32631762652705,-0.263246073298429,0,1.35218968401012
79509,795494747,50.7411554,3205,1814,0,2716,1629,142,-1.29965095986038,-0.266579406631762,0,1.32670916085861
79510,795504747,50.7418043,3229,1827,0,2731,1638,142,-1.24965095986038,-0.236579406631762,0,1.27184800079342
79511,795514746,50.7425066,3231,1822,0,2732,1642,142,-1.24631762652705,-0.223246073298429,0,1.26615419101908
79512,795524747,50.7431827,3222,1823,0,2729,1637,142,-1.25631762652705,-0.239912739965096,0,1.27901997698242
79513,795534747,50.7438554,3222,1814,0,2725,1632,142,-1.26965095986038,-0.256579406631762,0,1.29531716262153
79514,795544746,50.7447305,3244,1808,0,2738,1627,142,-1.22631762652705,-0.273246073298429,0,1.25639099714378
79515,795554746,50.756295,3242,1823,0,2734,1637,142,-1.23965095986038,-0.239912739965096,0,1.26265301056162
79516,795564746,50.7570109,3238,1818,0,2732,1631,142,-1.24631762652705,-0.259912739965096,0,1.27313088823898
79517,795574746,50.7717384,3269,1830,0,2754,1645,142,-1.17298429319372,-0.213246073298429,0,1.19221056858944
79518,795584747,50.7868449,3276,1834,0,2753,1641,142,-1.17631762652705,-0.226579406631762,0,1.19794047681337
79519,795594747,50.7875883,3275,1821,0,2760,1635,142,-1.15298429319372,-0.246579406631762,0,1.1790564804649
79520,795604747,50.8030203,3274,1823,0,2759,1636,142,-1.15631762652705,-0.243246073298429,0,1.18162561989501
79521,795614746,50.817316,3269,1837,0,2757,1645,142,-1.16298429319372,-0.213246073298429,0,1.18237318727739
79522,795624746,50.8179412,3280,1824,0,2760,1641,142,-1.15298429319372,-0.226579406631762,0,1.17503659851982
79523,795634746,50.9327672,3271,1830,0,2763,1642,142,-1.14298429319372,-0.223246073298429,0,1.16458228723037
79524,795644747,50.9336041,3280,1830,0,2761,1640,142,-1.14965095986038,-0.229912739965096,0,1.17241511313449
79525,795654747,50.9343789,3277,1831,0,2759,1642,142,-1.15631762652705,-0.223246073298429,0,1.17767111820759
79526,795664746,50.9350572,3276,1823,0,2757,1647,142,-1.16298429319372,-0.206579406631762,0,1.1811890269807
79527,795674746,50.9356383,3283,1823,0,2760,1645,142,-1.15298429319372,-0.213246073298429,0,1.17253855720339
79528,795684746,50.9360849,3256,1824,0,2748,1644,142,-1.19298429319372,-0.216579406631762,0,1.21248429399472
79529,795694747,50.9365212,3307,1826,0,2767,1644,142,-1.12965095986038,-0.216579406631762,0,1.15022516512657
79530,795704747,50.9369729,3297,1826,0,2770,1640,142,-1.11965095986038,-0.229912739965096,0,1.14301274704814
79531,795714747,50.9376034,3295,1822,0,2771,1640,142,-1.11631762652705,-0.229912739965096,0,1.13974774020098
79532,795724746,50.9381795,3295,1827,0,2764,1642,142,-1.13965095986038,-0.223246073298429,0,1.16131094869284
79533,795734746,50.9387165,3291,1829,0,2760,1645,142,-1.15298429319372,-0.213246073298429,0,1.17253855720339
79534,795744747,50.9582541,3301,1829,0,2778,1650,142,-1.09298429319372,-0.196579406631762,0,1.11052155687311
79535,795754745,50.9594214,3309,1831,0,2778,1642,142,-1.09298429319372,-0.223246073298429,0,1.11555074936613
79536,795764747,50.9605287,3285,1829,0,2767,1646,142,-1.12965095986038,-0.209912739965096,0,1.14898853323832
79537,795774746,50.9739985,3280,1828,0,2755,1637,142,-1.16965095986038,-0.239912739965096,0,1.19400229928584
79538,795784746,50.9886142,3287,1826,0,2764,1638,142,-1.13965095986038,-0.236579406631762,0,1.1639476474279
79539,795794747,50.9894196,3305,1834,0,2780,1642,142,-1.08631762652705,-0.223246073298429,0,1.10901974506612
79540,795804746,51.0056854,3312,1831,0,2771,1644,142,-1.11631762652705,-0.216579406631762,0,1.13713309804611
79541,795814746,51.0209212,3312,1836,0,2776,1639,142,-1.09965095986038,-0.233246073298429,0,1.1241156365032
79542,795824747,51.0219684,3315,1831,0,2779,1643,142,-1.08965095986038,-0.219912739965096,0,1.11162081103388
