window_id,t_start_s,t_end_s,n_samples,rms_x,rms_y,rms_z,std_x,std_y,std_z,ptp_x,ptp_y,ptp_z,norm_rms,norm_mean_abs,jerk_rms,motion_threshold,is_motion
188,46.749237,47.739237,100,4.89786096239442,5.00646778368372,6.85588067045704,4.86025937704165,5.01572275424736,6.89036803931196,30,39,54,9.80086023997672,7.83767649830428,1345.44163629649,10.5746734583437,0
189,46.999237,47.989237,100,4.55687518039317,4.86389820910304,7.05549998803724,4.57983061748451,4.85834697747447,7.09054712880879,30,39,54,9.70580739966503,7.64327433243076,1314.10791043316,10.5746734583437,0
190,47.249237,48.239237,100,4.43213180228303,4.86214548748478,6.16750312221579,4.45143263739356,4.88435970184114,6.17763970487372,30,39,54,9.0178903196268,7.09883181065613,1194.896513217,10.5746734583437,0
191,47.499237,48.489237,100,3.95615226860384,4.34886048717717,4.19874379434645,3.96194014303216,4.33192284736877,4.19488625675008,30,30,33,7.22448460167734,6.2404465359542,990.357807183626,10.5746734583437,0
192,47.749237,48.739237,100,3.67819912190562,4.30586329804705,5.36017115111213,3.6721584217933,4.32498029422731,5.38550242443882,24,26,45,7.79750231106543,6.48289683224024,1070.02318532414,10.5746734583437,0
193,47.999237,48.989237,100,3.84167444463869,4.60820360768529,5.64527582499319,3.8556137741944,4.6275416166839,5.66830635813706,24,32,46,8.2379088468328,6.79320900714888,1127.74950703967,10.5746734583437,0
194,48.249237,49.239237,100,4.01677132299636,5.41786349596605,5.85303266057617,4.03613726728961,5.43743106307166,5.86614150542042,24,41,46,8.93004412351578,7.30039445361967,1237.54617256906,10.5746734583437,0
195,48.499237,49.489237,100,4.17904756069681,5.45810857641722,6.04628626337613,4.19956707725495,5.47169022692202,6.0747116155519,24,41,47,9.15494212571637,7.42447752970721,1272.03996806883,10.5746734583437,0
196,48.749237,49.739237,100,4.65329267985276,5.30537607507943,5.53825444191359,4.67033405679082,5.32365599295382,5.54962916223993,30,41,34,8.9706415782692,7.46644000748176,1250.45539353597,10.5746734583437,0
197,48.999237,49.989237,100,4.6847017521458,5.05401635969763,5.51367366327061,4.7056703383613,5.07515238364049,5.53497602487667,32,41,45,8.8255373284403,7.12883104845851,1255.64784181277,10.5746734583437,0
198,49.249237,50.239237,100,4.71314958028372,4.27832510239022,5.87275425818437,4.73687447564106,4.29915425086462,5.8937648957576,32,22,48,8.66066320929832,7.09733742168811,1257.77639522345,10.5746734583437,0
199,49.499238,50.489237,100,4.8030353715528,4.5011986261216,5.93421167491085,4.80844165100411,4.51371646912346,5.95853517352557,32,24,48,8.86255076458434,7.34277438034891,1286.75704078968,10.5746734583437,0
