sensor_id,seq,t_us,wall_s,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z
2,182523,1825645532,4.837096,2000,1895,2278,1723,1643,1943
1,182586,1826275301,4.8393811,1838,1729,1198,1653,1570,1118
2,182524,1825655531,4.8413388,1999,1895,2282,1723,1642,1942
1,182587,1826285302,4.8431593,1840,1733,1194,1653,1565,1120
2,182525,1825665531,4.8449768,2000,1894,2276,1723,1641,1941
1,182588,1826295300,4.8467758,1837,1738,1195,1653,1570,1118
1,182589,1826305301,4.8485903,1837,1738,1198,1652,1566,1120
1,182590,1826315301,4.8505788,1840,1731,1195,1650,1569,1117
2,182527,1825685531,4.8525117,2000,1899,2283,1722,1640,1942
2,182528,1825695530,4.8545184,2000,1893,2278,1723,1641,1945
1,182591,1826325301,4.8565638,1840,1734,1195,1653,1562,1122
2,182529,1825705531,4.8580342,1997,1895,2277,1722,1640,1945
1,182592,1826335301,4.859153,1839,1733,1190,1653,1563,1120
2,182530,1825715531,4.8601174,1998,1902,2282,1722,1641,1941
1,182593,1826345301,4.8611241,1840,1732,1190,1653,1565,1119
2,182531,1825725531,4.8622136,2000,1897,2279,1724,1641,1941
1,182594,1826355301,4.8634501,1840,1737,1197,1652,1566,1121
2,182532,1825735530,4.8653057,2000,1897,2275,1723,1638,1946
1,182595,1826365301,4.8672777,1840,1735,1198,1653,1570,1117
2,182533,1825745532,4.8688723,1999,1897,2275,1719,1641,1946
1,182596,1826375301,4.8698933,1837,1735,1190,1649,1564,1123
2,182534,1825755531,4.8711231,1995,1895,2274,1723,1643,1947
1,182597,1826385301,4.8723307,1840,1730,1189,1653,1566,1121
2,182535,1825765531,4.8733293,2000,1901,2277,1723,1639,1945
1,182598,1826395301,4.8740591,1838,1741,1191,1653,1565,1123
2,182536,1825775531,4.8749297,2000,1898,2279,1723,1639,1942
1,182599,1826405301,4.8760145,1840,1738,1190,1650,1562,1121
2,182537,1825785531,4.8773004,2000,1901,2275,1722,1644,1941
1,182600,1826415317,4.8787572,1837,1732,1203,1653,1566,1123
2,182538,1825795531,4.8803375,1999,1898,2275,1720,1638,1939
1,182601,1826425301,4.8813296,1839,1735,1191,1653,1570,1121
2,182539,1825805530,4.8822492,2000,1897,2274,1723,1640,1945
1,182602,1826435302,4.8832578,1838,1738,1194,1650,1568,1123
2,182540,1825815532,4.8844262,1999,1899,2283,1722,1642,1948
1,182603,1826445301,4.8853843,1838,1735,1191,1650,1566,1123
2,182541,1825825531,4.8863852,1999,1897,2281,1721,1643,1940
1,182604,1826455301,4.887405,1840,1735,1192,1653,1565,1125
2,182542,1825835532,4.8882792,2000,1899,2273,1723,1639,1941
1,182605,1826465301,4.8896012,1839,1733,1194,1650,1569,1124
2,182543,1825845530,4.8911922,1999,1893,2274,1723,1640,1945
2,182544,1825855533,4.8927983,2000,1903,2281,1722,1642,1941
1,182606,1826475302,4.8945621,1840,1729,1191,1651,1566,1126
1,182607,1826485301,4.896399,1840,1737,1195,1652,1562,1118
2,182545,1825865531,4.8979216,2000,1895,2285,1723,1639,1941
1,182608,1826495301,4.8991168,1840,1734,1197,1653,1566,1119
1,182609,1826505301,4.9001136,1839,1735,1190,1650,1566,1117
2,182547,1825885530,4.9013453,2001,1902,2279,1721,1642,1941
1,182610,1826515301,4.9026666,1838,1738,1195,1648,1566,1117
2,182548,1825895532,4.9046663,2000,1898,2278,1723,1642,1941
1,182611,1826525301,4.9059679,1840,1738,1196,1653,1566,1118
2,182549,1825905530,4.9077649,2000,1894,2273,1723,1641,1941
1,182612,1826535302,4.909326,1840,1731,1195,1649,1571,1127
2,182550,1825915529,4.9104291,1999,1898,2278,1722,1643,1943
2,182551,1825925531,4.9113967,1999,1894,2274,1723,1642,1943
1,182613,1826545301,4.9122831,1837,1732,1196,1653,1569,1125
1,182614,1826555301,4.9132367,1838,1735,1194,1653,1566,1125
2,182552,1825935532,4.9142841,1999,1900,2278,1723,1643,1941
1,182615,1826565301,4.9151276,1836,1731,1194,1654,1567,1122
2,182553,1825945532,4.9160466,2001,1900,2282,1723,1641,1946
1,182616,1826575301,4.918077,1838,1734,1194,1653,1563,1116
1,182617,1826585301,4.9194876,1840,1737,1191,1653,1565,1119
2,182554,1825955530,4.9203902,1998,1895,2282,1722,1641,1945
2,182555,1825965532,4.9211365,2000,1895,2278,1723,1639,1940
1,182618,1826595301,4.9218759,1840,1735,1197,1650,1562,1122
2,182556,1825975532,4.9225269,2000,1893,2278,1723,1641,1942
1,182619,1826605301,4.9232245,1842,1728,1190,1657,1563,1119
2,182557,1825985531,4.9240196,2000,1895,2277,1723,1640,1945
1,182620,1826615301,4.9250406,1840,1741,1197,1653,1571,1125
2,182558,1825995531,4.9260022,2001,1898,2277,1722,1642,1945
1,182621,1826625301,4.9269283,1837,1732,1193,1653,1568,1126
2,182559,1826005531,4.9278564,2000,1897,2278,1722,1641,1945
1,182622,1826635302,4.928891,1840,1735,1197,1647,1563,1122
1,182623,1826645301,4.9298822,1837,1728,1189,1649,1562,1126
2,182561,1826025532,4.9308064,1995,1899,2275,1723,1642,1940
1,182624,1826655301,4.931909,1836,1738,1195,1651,1568,1123
2,182562,1826035531,4.9342445,2000,1894,2282,1723,1642,1948
1,182625,1826665301,4.9357617,1842,1734,1190,1657,1569,1122
2,182563,1826045531,4.9371055,1999,1899,2278,1723,1638,1945
1,182626,1826675302,4.9381374,1840,1735,1197,1653,1569,1122
2,182564,1826055531,4.9390978,2000,1899,2275,1723,1640,1942
1,182627,1826685301,4.9402472,1837,1738,1189,1651,1566,1123
2,182565,1826065531,4.9411902,2000,1898,2279,1723,1640,1942
1,182628,1826695302,4.9421705,1840,1740,1197,1652,1572,1126
